WEEK,NUM_FLOW_PLANTS,SPECIES,EGG_TOT,LARV_TOT,ANT_TOT,APH_TOT,PREDATOR_TOT
1,80,1,0,0,0,0,0
1,80,1,0,0,0,0,0
1,80,1,0,0,0,0,0
1,113,1,0,0,0,0,0
1,113,1,0,0,0,0,0
1,119,1,0,0,0,0,0
1,119,1,0,0,0,0,0
1,119,1,0,0,0,0,0
1,119,1,0,0,0,1,0
1,119,1,0,0,0,0,0
1,20,1,0,0,0,0,0
2,80,1,0,0,0,0,0
2,80,1,0,0,0,0,0
2,113,1,0,0,0,0,0
2,113,1,0,0,0,0,1
2,113,1,0,0,0,0,0
2,30,1,0,0,0,0,0
2,119,1,0,0,0,8,0
2,119,1,1,0,0,1,0
2,20,1,0,0,0,0,0
3,80,1,0,0,0,0,0
3,80,1,0,0,0,0,0
3,113,1,0,0,0,0,0
3,113,1,0,0,0,0,0
3,113,1,0,0,0,0,0
3,113,1,0,0,0,0,0
3,113,1,0,0,0,0,0
3,40,1,0,0,0,0,0
3,30,1,0,0,0,0,0
3,35,1,0,0,0,0,0
3,119,1,0,0,1,1,0
3,119,1,1,0,0,1,1
3,20,1,4,0,0,0,1
3,80,1,1,0,0,0,0
3,80,1,0,0,0,4,0
4,80,1,0,0,0,0,0
4,80,1,0,0,0,0,0
4,80,1,0,0,0,0,0
4,80,1,0,0,0,0,0
4,80,1,0,0,0,0,1
4,113,1,0,0,0,0,1
4,113,1,0,0,0,0,1
4,113,1,0,0,0,0,0
4,40,1,0,0,0,0,0
4,40,1,0,0,0,0,0
4,30,1,0,0,0,0,0
4,30,1,0,0,0,0,1
4,35,1,0,0,0,0,0
4,20,1,1,0,0,0,0
4,80,1,0,0,1,0,0
4,80,1,0,0,0,0,0
5,113,1,0,0,0,0,0
5,113,1,0,0,0,0,0
5,40,1,2,0,0,0,1
5,40,1,0,0,0,0,0
5,40,1,0,0,1,0,1
5,30,1,1,0,0,0,1
5,20,1,0,0,0,0,0
5,20,1,0,0,0,0,0
5,80,1,0,0,1,1,0
5,80,1,0,0,2,0,0
6,80,1,0,0,0,0,2
6,40,1,2,1,0,0,2
6,40,1,8,0,0,0,2
6,40,1,1,1,0,0,1
6,20,1,6,0,0,0,3
6,20,1,3,0,0,0,0
7,80,1,1,0,0,0,0
7,40,1,9,0,0,0,0
7,40,1,3,0,1,0,1
7,40,1,4,0,7,1,7
7,30,1,4,0,0,31,2
7,20,1,2,1,0,0,2
7,20,1,0,0,0,0,1
7,20,1,1,0,0,2,1
8,40,1,3,0,0,0,0
8,40,1,0,0,0,22,1
8,20,1,2,1,0,0,0
1,80,2,0,0,0,0,0
1,80,2,0,0,0,0,0
1,80,2,0,0,2,48,0
1,113,2,0,0,0,0,3
1,40,2,0,0,0,0,0
1,40,2,0,0,0,70,6
1,40,2,0,0,1,35,7
1,35,2,0,0,0,575,0
1,119,2,1,0,4,515,0
1,20,2,0,0,0,5,0
1,80,2,0,0,0,675,2
1,80,2,0,0,0,981,3
1,80,2,0,0,0,326,2
1,80,2,0,0,0,750,5
2,113,2,0,0,5,15,0
2,113,2,0,0,1,15,0
2,113,2,0,0,3,30,5
2,113,2,0,0,0,13,0
2,113,2,0,0,0,3,4
2,40,2,0,0,0,25,0
2,40,2,0,0,2,34,1
2,40,2,0,0,2,11,0
2,35,2,0,0,1,1,3
2,35,2,0,0,25,101,27
2,119,2,0,0,0,805,0
2,80,2,0,0,0,3,1
2,80,2,0,0,0,825,6
2,80,2,0,0,0,270,0
2,80,2,0,0,0,84,1
3,113,2,0,0,1,4,2
3,113,2,0,0,1,7,0
3,113,2,0,0,0,7,1
3,40,2,0,0,0,28,2
3,20,2,0,0,0,6,2
3,20,2,0,0,0,0,0
3,80,2,0,0,0,65,1
3,80,2,0,0,1,316,2
4,113,2,0,0,0,5,9
4,113,2,0,0,2,5,12
4,80,2,0,0,0,7,4
5,40,2,1,1,3,5,3
8,30,2,1,0,0,3,0
1,80,3,0,0,0,0,0
1,80,3,0,0,0,0,0
1,80,3,0,0,0,0,0
1,80,3,0,0,0,0,1
1,40,3,0,0,0,0,0
1,30,3,0,0,0,0,1
1,30,3,0,0,0,0,0
1,30,3,0,0,1,0,0
1,30,3,0,0,0,0,0
1,35,3,0,0,0,0,0
1,119,3,0,0,0,0,0
1,80,3,0,0,0,0,0
2,113,3,0,0,0,1,1
2,113,3,0,0,0,1,0
2,113,3,0,0,0,0,2
2,30,3,0,0,0,0,0
2,80,3,0,0,0,0,0
2,80,3,0,0,0,0,0
3,40,3,0,0,0,0,0
3,30,3,2,0,0,0,0
4,40,3,0,0,0,0,0
4,20,3,0,0,0,0,0
4,20,3,0,0,0,0,1
5,35,3,0,2,0,0,1
5,80,3,0,0,0,0,0
5,80,3,0,0,0,0,0
5,80,3,0,0,0,0,0
5,80,3,0,0,0,0,0
6,30,3,0,0,0,0,0
6,30,3,0,0,0,0,0
6,35,3,0,0,0,0,1
6,35,3,1,0,0,0,0
6,20,3,0,0,0,0,0
6,80,3,0,0,0,0,0
6,80,3,0,0,0,0,0
6,80,3,0,0,0,0,0
7,20,3,0,0,0,0,0
7,20,3,0,0,0,0,0
7,20,3,0,0,0,0,0
7,80,3,0,0,0,0,0
7,80,3,0,0,0,0,0
8,30,3,2,0,1,0,0
8,119,3,0,0,0,0,0
8,119,3,0,0,0,0,0
8,20,3,0,0,0,0,0
8,20,3,0,0,1,0,0
8,20,3,0,0,0,0,1
8,80,3,0,0,0,0,0
8,80,3,0,0,0,0,0
9,30,3,2,0,0,0,0
9,20,3,2,0,0,5,0
9,80,3,0,0,0,0,0
1,119,1,0,0,0,11,1
1,119,1,0,0,0,11,0
1,119,1,0,0,1,0,0
2,119,1,0,0,0,5,0
2,119,1,0,0,0,0,2
2,119,1,0,0,0,0,0
2,20,1,0,0,0,0,0
2,20,1,0,0,0,0,0
2,20,1,0,0,0,0,0
2,20,1,0,0,0,0,0
2,80,1,0,0,3,0,0
2,80,1,0,0,0,6,1
2,80,1,0,0,0,0,0
3,80,1,0,0,0,0,0
3,80,1,0,0,0,0,1
3,80,1,0,0,0,0,0
3,119,1,0,0,1,5,0
3,119,1,0,0,0,0,0
3,119,1,0,0,0,0,0
3,20,1,0,0,0,0,0
3,20,1,4,0,0,0,0
3,20,1,0,0,0,0,0
3,20,1,1,0,0,0,0
3,20,1,0,0,0,0,0
3,80,1,0,0,0,6,0
4,113,1,0,0,2,0,2
4,119,1,0,0,0,0,0
4,20,1,2,0,0,0,0
4,80,1,0,0,0,0,0
5,113,1,0,0,0,0,0
5,113,1,0,0,2,0,2
5,113,1,1,0,2,0,2
5,40,1,2,1,0,0,2
5,30,1,0,0,0,0,0
5,80,1,0,0,0,0,1
6,113,1,0,0,0,0,0
6,30,1,10,0,1,2,1
6,30,1,5,1,0,0,0
6,20,1,1,0,0,0,2
7,20,1,3,0,0,0,1
7,20,1,1,0,0,0,2
7,20,1,6,1,0,0,1
8,40,1,1,0,0,0,1
8,20,1,4,0,0,0,2
8,20,1,3,0,0,0,0
8,20,1,2,0,0,0,0
9,20,1,1,0,0,0,3
9,20,1,2,0,0,1,1
1,113,2,0,0,20,20,1
1,113,2,0,0,2,0,6
1,35,2,0,0,15,300,3
1,35,2,0,0,5,40,4
1,35,2,1,0,10,600,2
1,35,2,0,0,11,45,1
1,119,2,0,0,5,1516,2
1,119,2,0,0,1,1500,4
1,119,2,0,0,4,350,3
1,119,2,0,0,2,550,4
1,20,2,0,0,0,22,1
1,80,2,0,0,0,215,1
2,80,2,0,0,3,35,1
2,80,2,0,0,0,12,1
2,80,2,0,0,0,35,0
2,80,2,0,0,0,5,0
2,80,2,0,0,25,0,5
2,40,2,0,0,14,7,11
2,40,2,0,0,1,9,2
2,35,2,0,0,1,20,0
2,35,2,0,0,50,1250,51
2,35,2,0,0,3,17,4
2,119,2,0,0,0,640,1
2,119,2,0,0,1,1100,1
2,119,2,0,0,2,1400,4
2,20,2,0,0,0,7,0
2,20,2,0,0,0,0,0
2,80,2,0,0,0,50,1
2,15,2,0,0,25,75,1
2,15,2,0,0,0,35,0
2,15,2,0,0,0,206,4
3,80,2,0,0,25,14,2
3,80,2,0,0,2,0,0
3,80,2,0,0,1,4,2
3,80,2,0,0,0,146,5
3,113,2,0,0,7,15,6
3,113,2,0,0,10,53,12
3,40,2,0,0,1,23,0
3,35,2,0,0,2,25,0
3,35,2,0,0,11,82,4
3,35,2,0,0,15,225,3
3,35,2,0,0,10,6,7
3,35,2,0,0,2,9,2
3,119,2,0,0,1,325,4
3,119,2,0,0,1,1845,3
3,119,2,0,0,0,820,2
3,20,2,0,0,0,16,0
3,80,2,0,0,0,24,2
3,80,2,0,0,0,190,0
3,80,2,0,0,0,0,0
3,15,2,0,0,0,57,0
4,113,2,0,0,7,25,7
4,20,2,1,0,0,12,0
5,20,2,1,3,0,5,0
5,20,2,0,5,0,2,0
5,80,2,0,0,1,10,2
8,30,2,6,0,0,5,0
1,113,3,0,0,0,0,0
1,113,3,0,0,0,0,0
1,113,3,0,0,0,0,0
1,113,3,0,0,0,0,0
1,113,3,0,0,0,0,2
1,35,3,0,0,4,0,0
1,35,3,0,0,1,0,0
1,35,3,0,0,0,0,0
1,119,3,0,0,4,0,0
1,119,3,0,0,0,0,0
1,119,3,0,0,0,0,0
1,119,3,0,0,0,0,0
2,80,3,0,0,0,9,0
2,80,3,0,0,0,2,0
2,80,3,0,0,9,5,0
2,80,3,0,0,0,1,0
2,80,3,0,0,0,0,0
2,113,3,0,0,0,0,0
2,113,3,0,0,0,0,0
2,40,3,0,0,0,0,0
2,40,3,0,0,0,0,0
2,40,3,0,0,0,0,0
2,40,3,0,0,0,0,0
2,40,3,0,0,0,0,1
2,30,3,0,0,3,0,0
2,30,3,0,0,0,0,0
2,30,3,0,0,0,0,0
2,30,3,0,0,0,0,0
2,35,3,0,0,0,0,0
2,35,3,0,0,0,0,0
2,35,3,0,0,0,1,0
2,35,3,0,0,3,0,2
2,35,3,0,0,0,0,0
2,119,3,0,0,1,0,0
2,119,3,0,0,0,0,0
2,119,3,0,0,6,0,0
2,119,3,0,0,2,0,0
2,119,3,0,0,1,0,0
2,15,3,0,0,0,0,0
2,15,3,0,0,0,0,0
2,15,3,0,0,0,0,0
2,15,3,0,0,0,0,0
2,15,3,0,0,0,0,0
3,80,3,0,0,3,0,1
3,80,3,0,0,1,0,1
3,80,3,0,0,0,0,2
3,80,3,0,0,2,3,0
3,80,3,0,0,0,1,1
3,40,3,0,0,0,0,0
3,40,3,0,0,0,0,1
3,40,3,0,0,0,0,0
3,40,3,0,0,0,0,0
3,30,3,0,1,0,0,1
3,30,3,0,0,3,0,0
3,30,3,3,1,0,0,1
3,30,3,0,0,0,0,0
3,35,3,0,0,0,0,1
3,35,3,0,0,0,0,0
3,35,3,0,0,0,0,0
3,35,3,0,0,6,0,0
3,119,3,0,0,1,0,0
3,119,3,0,0,6,0,0
3,119,3,0,0,1,0,0
3,119,3,0,0,0,0,2
3,80,3,0,0,0,0,0
3,80,3,0,0,0,0,0
3,15,3,0,0,0,0,0
3,15,3,0,0,0,0,0
3,15,3,0,0,0,0,0
4,80,3,0,0,0,0,0
4,113,3,0,0,1,0,0
4,30,3,0,0,0,0,0
4,35,3,0,0,0,0,0
4,35,3,0,0,0,0,1
4,35,3,0,0,0,0,1
4,119,3,0,0,14,0,0
4,119,3,0,0,11,0,1
4,119,3,0,0,0,0,0
4,119,3,0,0,0,0,0
5,40,3,0,0,0,0,0
5,30,3,0,0,0,0,1
5,30,3,0,0,0,0,0
5,30,3,0,0,0,0,0
5,35,3,0,0,0,0,0
5,35,3,0,0,0,0,1
6,15,3,0,0,0,0,0
7,30,3,1,1,2,0,1
