WEEK,LOCATION,SPECIES,HEIGHT,PHENOLOGY,EGG_TOT,LARV_TOT,PRED_TOT,TET_IMM,MON_MIN,TAP_SES,CRE_CER,SOL_MOL,CAM_PEN,LAS_NEO,FOR_SUB,FOR_PAL,UNK_ANT,LAS_TOT,FOR_TOT,CRE_TOT,ANT_TOT,MYZ_ASC,APH_ASC,APH_FAB,MYZ_PER,APH_NER,URO_SOL,UNK_APH,APH_TOT,LYG_KAL,ONC_FAS,MWB_NYM,LYG_LIN,ADE_LIN,PRED_MIRID,UNK_MIRID,CICADELLIDAE,MEMBRACIDAE,CERCOPOIDEA,FULGOROMORPHA,ORI_SP,ORI_INS,ORI_INS_NYM,REDUVIIDAE,REDUVIIDAE_NYM,ARI_CRI,ARI_CRI_NYM,PHY_PEN,SB_EGG,POD_MAC_NYM,PENTATOMIDAE_NYM,EUS_VAR,COREIDAE,THYREOCORIDAE,ALYDIDAE,NABIDAE,UNK_HEM_NYM,UNK_HEM_ADULT,HAR_AXY,PRO_QUA,COC_SEP,HIP_VAR,COL_MAC,HIP_PAR,SCYMNINI,NABIDAE,LB_EGG,TET_TET,NEO_ACU,CANTHARIDAE,UNK_BEETLE,LAMPYRIDAE,LAB_CLI,LAB_CLI_PUP,LAB_CLI_NYM,CHRYSOMELIDAE,POP_JAP,CURCULIONOIDEA,MORDELLIDAE,DIA_SP,SM_PARA,LG_PARA,VESPIDAE,VES_SP,EUMENINAE,DOL_SP,BOM_SP,API_MEL,XYL_SP,MEG_SP,ANDRENIDAE ,HALICTIDAE,CRABRONIDAE,DOLICHOPODIDAE,SYR_LARV,SYR_PUP,SYR_ADULT,CALLIPHORIDAE,UNK_FLY,UNK_FLY_LARV,ENTOMOPHTHORA,TETTIGONIIDAE,ACRIDIDAE,GRYLLIDAE,GRYLLIDAE,GRYLLIDAE,TRIGONIDIIDAE,ACRIDIDAE_SUM,GRYLLIDAE_SUM,TETTIGONNIDAE_SUM,CHRYSOPIDAE_LARVAE,CHRYSOPIDAE_EGG,CHRYSOPIDAE_GREEN,CHRYSOPIDAE_BROWN,CHRYSOPIDAE,PTEROPHORIDAE,LYC_PHO,EUC_EGL_EARLY,EUC_EGL_MID,EUC_EGL_LATE,SPI_VIR,CIS_FUL,TORTRICIDAE,MEL_CUC,GEOMETRIDAE,UNK_GEOMETRID_LARV,UNK_MOTH,UNK_CATERPILLAR,DERMAPTERA,THRIP_ORANGE,THRIP_PRED,THYSANOPTERA,SNAIL_SHELL,SLUG,MANTIDAE,THOMISIDAE,SALTICIDAE,LINYPHIIDAE,ARANEIDAE,LYCOSIDAE,OXYOPIDAE,UNK_SPIDER,SPIDER_EGG,SPIDER_TOT,OPILIONES,TROMBIDIIDAE,TETRANYCHIDAE,TET_URT,TETRANYCHIDAE_UNK,UNK_ORANGE_MITE,UNK_MITE,DIPLOPODA
1,AB,INCARNATA,114,FLOW_DEV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,AB,INCARNATA,105,FLOW_DEV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,AB,INCARNATA,130,FLOW_DEV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,AB,INCARNATA,109,VEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,AB,INCARNATA,126,VEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,AB,SYRIACA,111,FLOW_DEV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,AB,SYRIACA,96,FLOW_DEV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,AB,SYRIACA,133,FLOW_DEV,0,0,52,0,0,2,0,0,0,0,0,0,0,0,0,0,2,48,0,0,0,0,0,0,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,AB,SYRIACA,153,FLOWERING ,0,0,84,0,0,7,0,0,0,0,0,0,0,0,0,0,7,70,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,AB,SYRIACA,140,FLOWERING ,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
